data_homologacao,numero_homologacao,fabricante,brand,modelo,nome_comercial,tipo_produto,situacao,pais
15/04/2019,015011503269,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG,ProXpress M4080FX,ProXpress M4080FX,Sistemas de Identificação por Radiofrequências,Homologação Suspensa,Coréia
26/10/2018,077741700953,Samsung Electronics Co Ltd.,SAMSUNG,SM-A730F/DS,(GALAXY A8+),Sistemas de Identificação por Radiofrequências,Homologação Suspensa,Coréia
26/10/2018,077741700953,Samsung Electronics Co Ltd.,SAMSUNG,SM-A730X,(GALAXY A8+),Sistemas de Identificação por Radiofrequências,Homologação Suspensa,Coréia
05/07/2017,032791601993,Apple Inc.,APPLE,A1817,,Sistemas de Identificação por Radiofrequências,Homologação Suspensa,Estados Unidos da América
26/10/2018,077741700953,Samsung Electronics Co Ltd.,SAMSUNG,SM-A730X,(GALAXY A8+),Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
19/07/2018,038541601739,"SAMSUNG ELECTRONICS CO., LTD",SAMSUNG,SM-R770,,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
22/08/2017,040211607120,Harman International Industries Inc.,JBL,CLIP2 TS,CLIP2 TS,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
15/12/2018,032801601993,Apple Inc.,APPLE,A1816,,Sistemas de Identificação por Radiofrequências,Homologação Suspensa,Estados Unidos da América
13/09/2018,041201600953,Samsung Electronics Co Ltd.,SAMSUNG,SM-G532MT,Galaxy J2 Prime,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
05/07/2017,032791601993,Apple Inc.,APPLE,A1817,,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
01/10/2019,015021503269,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG,Xpress C480FW,,Equipamento de Fac-Símile,Homologação Suspensa,Coréia
19/07/2013,017321303269,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG,XE300TZC,XE300TZC,Transceptor de Radiação Restrita,Homologação Cancelada,Coréia
22/08/2017,044241607120,Harman International Industries Inc.,JBL,UA Sport Wireless,UA Sport Wireless,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
09/04/2019,039471601993,Apple Inc.,APPLE,A1706,,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
15/12/2018,032801601993,Apple Inc.,APPLE,A1816,,Equipamento de Radiocomunicação de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
05/12/2008,024900800953,Samsung Electronics Co Ltd.,SAMSUNG,SGH-T459,SGH-T459,Telefone Móvel Celular,Homologação Suspensa,Coréia
15/04/2019,015011503269,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG,ProXpress M4080FX,ProXpress M4080FX,Equipamento de Fac-Símile,Homologação Suspensa,Coréia
25/11/2008,022850801963,"Samsung Electronics Co., Ltd.",SAMSUNG,CLX-8380ND,CLX-8380ND,Equipamento de Fac-Símile,Homologação Suspensa,Coréia
19/07/2018,038551601739,"SAMSUNG ELECTRONICS CO., LTD",SAMSUNG,SM-R760,,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
03/08/2020,032821601993,Apple Inc.,APPLE,A1747,,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
15/12/2018,032801601993,Apple Inc.,APPLE,A1816,,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
25/11/2020,085061800953,Samsung Electronics Co Ltd.,SAMSUNG,SM-G975F/DS,Galaxy S10+,Sistemas de Identificação por Radiofrequências,Homologação Suspensa,Coréia
12/09/2012,024131200953,Samsung Electronics Co Ltd.,SAMSUNG,GT-S6012B,GT-S6012B,Telefone Móvel Celular,Homologação Suspensa,Coréia
25/11/2020,085061800953,Samsung Electronics Co Ltd.,SAMSUNG,SM-G975F/DS,Galaxy S10+,Carregador Indutivo para Telefone Celular,Homologação Suspensa,Coréia
01/10/2019,015021503269,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG,Xpress C480FW,,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
21/01/2009,022720801963,"Samsung Electronics Co., Ltd.",SAMSUNG,WEP460,WEP460,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
28/08/2003,010370300953,Samsung Electronics Co Ltd.,SAMSUNG,SGH-A800,SGH-A800,Telefone Móvel Celular,Homologação Cancelada,Coréia
02/06/2010,008641000953,Samsung Electronics Co Ltd.,SAMSUNG,GT-I5500B,GT-I5500B,Telefone Móvel Celular,Homologação Suspensa,Coréia
15/08/2014,021511409910,"SAMSUNG ELECTRONICS CO., LTD",SAMSUNG,HW-F450,HW-F450,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
25/11/2020,085061800953,Samsung Electronics Co Ltd.,SAMSUNG,SM-G975F/DS,Galaxy S10+,Telefone Móvel Celular,Homologação Suspensa,Coréia
22/05/2017,041801607120,Harman International Industries Inc.,JBL,JBL SMARTBASEWR,,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
06/06/2017,008661203269,"SAMSUNG ELECTRONICS CO., LTD.",SAMSUNG,SPW-B4319U,SPW-B4319U,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
29/04/2013,003041300953,Samsung Electronics Co Ltd.,SAMSUNG,GT-N5110,GT-N5110,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
25/11/2020,085061800953,Samsung Electronics Co Ltd.,SAMSUNG,SM-G975F/DS,Galaxy S10+,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
16/11/2021,083181900953,Samsung Electronics Co Ltd.,SAMSUNG,SM-A515F/DST,GALAXY A51,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
22/08/2017,040701607120,Harman International Industries Inc.,JBL,CINEMA SB450,CINEMA SB450,Transceptor de Radiação Restrita,Homologação Suspensa,Estados Unidos da América
18/11/2011,012521100953,Samsung Electronics Co Ltd.,SAMSUNG,GT-P7500,GT-P7500,Estação Terminal de Acesso,Homologação Suspensa,Coréia
26/09/2016,034151601739,"SAMSUNG ELECTRONICS CO., LTD",SAMSUNG,EO-SG510,EO-SG510,Transceptor de Radiação Restrita,Homologação Suspensa,Coréia
28/03/2013,007711300953,Samsung Electronics Co Ltd.,SAMSUNG,GT-I9500,GT-I9500,Telefone Móvel Celular,Homologação Suspensa,Coréia
19/12/2003,014750301993,Apple Inc.,APPLE,A1041,A1041,Transceptor de Radiação Restrita - Espalhamento Espectral,Homologação Cancelada,Estados Unidos da América
25/09/2009,019950900953,Samsung Electronics Co Ltd.,SAMSUNG,GT-S3500i,GT-S3500i,Telefone Móvel Celular,Homologação Suspensa,Coréia
